SignalRecordInator saved data
note:Some more example data, this time without a time column.
numChannels: 2
Channels: AI0, AI2,
SaplingFrequency: 1000
-0.837841,2.489373
-0.795729,2.489044
-0.782898,2.490360
-0.762170,2.489373
-0.726638,2.491676
-0.717426,2.489702
-0.674984,2.489702
-0.673010,2.488057
-0.662153,2.489373
-0.617080,2.487728
-0.616751,2.487728
-0.603262,2.490031
-0.568716,2.489373
-0.558517,2.489373
-0.550950,2.491018
-0.527591,2.491018
-0.495677,2.490031
-0.485149,2.488057
-0.477911,2.488057
-0.457842,2.490360
-0.457513,2.487728
-0.445340,2.488715
-0.445998,2.490031
-0.421322,2.491347
-0.408162,2.488386
-0.405530,2.489373
-0.367366,2.489044
-0.381842,2.488715
-0.406517,2.490031
-0.381842,2.490360
-0.383816,2.491018
-0.373617,2.490031
-0.369669,2.489702
-0.368024,2.487728
-0.346638,2.487728
-0.354535,2.489373
-0.388751,2.488057
-0.371643,2.490031
-0.360786,2.491676
-0.375262,2.491347
-0.359470,2.489702
-0.390396,2.489044
-0.399279,2.487728
-0.392041,2.489373
-0.422967,2.488715
-0.425270,2.488715
-0.428231,2.489044
-0.455868,2.489373
-0.464093,2.488057
-0.500283,2.490031
-0.506534,2.489702
-0.526275,2.490031
-0.542725,2.490360
-0.568387,2.488715
-0.592733,2.490031
-0.614777,2.488715
-0.628924,2.489044
-0.635833,2.488715
-0.675642,2.490360
-0.699989,2.488715
-0.738811,-2.484839
-0.741772,-2.484510
-0.763486,-2.485168
-0.803954,-2.484839
-0.843434,-2.485168
-0.864162,-2.485168
-0.874361,-2.485497
-0.926015,-2.484839
-0.942465,-2.485168
-0.974049,-2.485497
-1.013201,-2.484510
-1.066499,-2.484839
-1.072421,-2.485168
-1.116508,-2.485168
-1.137893,-2.485168
-1.184283,-2.484181
-1.194811,-2.484510
-1.220802,-2.484839
-1.270482,-2.484510
-1.314569,-2.485168
-1.353391,-2.485497
-1.382343,-2.484839
-1.400110,-2.484839
-1.440248,-2.484839
-1.413270,-2.485168
-1.418205,-2.484510
-1.430707,-2.484181
-1.424785,-2.484839
-1.433010,-2.484839
-1.430378,-2.484839
-1.429062,-2.484181
-1.431694,-2.484181
-1.418205,-2.484839
-1.433997,-2.485168
-1.452092,-2.485168
-1.439261,-2.484181
-1.436629,-2.484181
-1.412941,-2.485497
-1.413270,-2.485168
-1.412941,-2.485168
-1.428733,-2.484510
-1.417547,-2.484839
-1.434984,-2.486155
-1.435642,-2.485168
-1.433010,-2.484839
-1.423140,-2.485826
-1.418205,-2.485168
-1.436958,-2.484510
-1.428733,-2.484181
-1.421495,-2.484839
-1.450118,-2.484839
-1.437287,-2.484510
-1.411625,-2.484839
-1.423469,-2.485497
-1.431365,-2.485168
-1.432352,-2.484181
-1.431365,-2.484839
-1.433010,-2.484839
-1.435313,-2.483852
-1.425114,-2.484510
-1.423798,-2.485168
-1.422811,-2.485168
-1.422482,-2.485168
-1.381027,-2.485168
-1.369841,-2.485168
-1.386292,-2.484839
-1.364906,-2.485497
-1.347469,-2.484181
-1.353062,-2.484181
-1.354049,-2.484839
-1.312266,-2.485497
-1.337599,-2.484839
-1.315885,-2.483852
-1.280352,-2.484510
-1.300750,-2.484839
-1.296144,-2.485497
-1.273114,-2.485497
-1.299763,-2.484510
-1.297789,-2.485497
-1.319504,-2.485168
-1.292196,-2.484510
-1.314898,-2.484181
-1.319833,-2.485168
-1.310621,-2.485168
-1.326413,2.492663
-1.309305,2.488057
-1.334309,2.486741
-1.365564,2.490689
-1.352075,2.489702
-1.387279,2.490689
-1.401097,2.490689
-1.425772,2.489702
-1.426430,2.489373
-1.438603,2.488715
-1.432023,2.492334
-1.425772,2.489373
-1.429720,2.489702
-1.435313,2.490031
-1.433997,2.490689
-1.429720,2.490360
-1.430049,2.490689
-1.435313,2.489044
-1.423798,2.490689
-1.415902,2.490031
-1.429391,2.489373
-1.416231,2.489702
-1.423140,2.489702
-1.440577,2.491676
-1.418205,2.490031
-1.426101,2.489702
-1.418534,2.486412
-1.436300,2.489044
-1.424456,2.488057
-1.405374,2.490031
-1.430707,2.490689
-1.430378,2.489702
-1.426430,2.487728
-1.416889,2.488057
-1.421824,2.487070
-1.438932,2.491676
-1.437287,2.491676
-1.433997,2.489373
-1.442222,2.490031
-1.421495,2.488057
-1.422153,2.489702
-1.399123,2.489044
-1.433010,2.489373
-1.431365,2.488057
-1.426430,2.489044
-1.424127,2.489373
-1.438274,2.489373
-1.428733,2.489044
-1.426759,2.488057
-1.423469,2.488386
-1.444525,2.491347
-1.439261,2.489044
-1.421166,2.488715
-1.417218,2.489044
-1.442551,2.490360
-1.430049,2.490031
-1.434984,2.492334
-1.437945,2.490031
-1.435971,2.489373
-1.437287,2.488057
-1.429720,2.488386
-1.418205,2.485425
-1.427746,2.490360
-1.445841,2.489702
-1.427088,2.488386
-1.444525,2.491018
-1.406361,2.490360
-1.413599,2.488715
-1.429720,2.489373
-1.452750,2.488715
-1.427088,2.488386
-1.416560,2.488386
-1.422153,2.489702
-1.432352,2.490031
-1.387608,2.490360
-1.434984,2.489702
-1.435313,2.488715
-1.419521,2.490031
-1.421824,2.489702
-1.433668,2.488057
-1.420837,2.487728
-1.420508,2.490360
-1.434984,2.488715
-1.442222,-2.485497
-1.427746,-2.484839
-1.429062,-2.484839
-1.407019,-2.484510
-1.445183,-2.483852
-1.412941,-2.484181
-1.412941,-2.483852
-1.423140,-2.485168
-1.441235,-2.485497
-1.418205,-2.485826
-1.435971,-2.485497
-1.434326,-2.485497
-1.440906,-2.485168
-1.424456,-2.484839
-1.430707,-2.484181
-1.443209,-2.484510
-1.419192,-2.484181
-1.420837,-2.485497
-1.413928,-2.485168
-1.417218,-2.485826
-1.423469,-2.484839
-1.439919,-2.485168
-1.434984,-2.484510
-1.421495,-2.484839
-1.428404,-2.485497
-1.424127,-2.485497
-1.447157,-2.484839
-1.433339,-2.484839
-1.442222,-2.485497
-1.426101,-2.484839
-1.442880,-2.484839
-1.422482,-2.484839
-1.425772,-2.484839
-1.442880,-2.484181
-1.416231,-2.484839
-1.430378,-2.484839
-1.430378,-2.485168
-1.410967,-2.484839
-1.421824,-2.484181
-1.427746,-2.484839
-1.421495,-2.484510
-1.419192,-2.485168
-1.412612,-2.484839
-1.439590,-2.484839
-1.439590,-2.485168
-1.414586,-2.485168
-1.431365,-2.484510
-1.430378,-2.484510
-1.408664,-2.484510
-1.406361,-2.484839
-1.418205,-2.484839
-1.433010,-2.484510
-1.440577,-2.484181
-1.420837,-2.485168
-1.445183,-2.484839
-1.418534,-2.484510
